DATA_FORMATADA,ID_JOGADOR,NOME_JOGADOR,ID_CLUBE,ID_MAO,ID_MESA,NOME_MESA,TIPO_MESA,ID_LIGA,TIPO_JOGO,GANHOS,RAKE
16/08/2025,1214677,ƁartSimpson,278673,850919771,37344471,Pursuit 20bb % ANTE,6,106,Ring Game,-400,12.1
16/08/2025,1214677,ƁartSimpson,278673,850925643,37344471,Pursuit 20bb % ANTE,6,106,Ring Game,-2,0.05
16/08/2025,1492829,OtisMalone,42904,850928093,37344471,Pursuit 20bb % ANTE,6,111,Ring Game,-0.96,0.06
17/08/2025,1214677,ƁartSimpson,278673,850930196,37345489,Edge Bomb(1),6,106,Ring Game,-2,0.15
17/08/2025,1214677,ƁartSimpson,278673,850931756,37345489,Edge Bomb(1),6,106,Ring Game,-46,2.9
16/08/2025,1214677,ƁartSimpson,278673,850929259,37344471,Pursuit 20bb % ANTE,6,106,Ring Game,-165.75,6.4
18/08/2025,1492829,OtisMalone,42904,851773598,37391872,Pursuit 35% ANTE,6,111,Ring Game,-11.2,0.63
18/08/2025,1492829,OtisMalone,42904,851774920,37391872,Pursuit 35% ANTE,6,111,Ring Game,-0.32,0.02
18/08/2025,1492829,OtisMalone,42904,851777305,37391872,Pursuit 35% ANTE,6,111,Ring Game,-0.32,0.01
17/08/2025,1492829,OtisMalone,42904,851186257,37365609,Pursuit 40%,5,111,Ring Game,-0.32,0
17/08/2025,1492829,OtisMalone,42904,851188768,37365609,Pursuit 40%,5,111,Ring Game,0,0
17/08/2025,1492829,OtisMalone,42904,851538880,37364824,Silver 2,6,111,Ring Game,0,0
17/08/2025,1492829,OtisMalone,42904,851541121,37364824,Silver 2,6,111,Ring Game,-3.36,0.19
17/08/2025,1492829,OtisMalone,42904,851544099,37364824,Silver 2,6,111,Ring Game,0,0
17/08/2025,1492829,OtisMalone,42904,851545997,37364824,Silver 2,6,111,Ring Game,-8.64,0.49
17/08/2025,1492829,OtisMalone,42904,851553648,37364824,Silver 2,6,111,Ring Game,0,0
17/08/2025,1492829,OtisMalone,42904,851554108,37364824,Silver 2,6,111,Ring Game,0,0
17/08/2025,1492829,OtisMalone,42904,851559665,37364824,Silver 2,6,111,Ring Game,0,0
17/08/2025,1492829,OtisMalone,42904,851563715,37364824,Silver 2,6,111,Ring Game,57.36,1.67
17/08/2025,1492829,OtisMalone,42904,851566447,37364824,Silver 2,6,111,Ring Game,0,0
17/08/2025,1492829,OtisMalone,42904,851569687,37364824,Silver 2,6,111,Ring Game,0,0
17/08/2025,1492829,OtisMalone,42904,851569234,37364824,Silver 2,6,111,Ring Game,0,0
18/08/2025,1492829,OtisMalone,42904,851928588,37394070,Silver 20bb,5,111,Ring Game,-0.48,0.03
18/08/2025,1492829,OtisMalone,42904,851923977,37394070,Silver 20bb,5,111,Ring Game,-3.36,0.22
18/08/2025,1492829,OtisMalone,42904,851935589,37394070,Silver 20bb,5,111,Ring Game,0,0
17/08/2025,1434022,Bulls4Bet,20443,851308104,37367280,Harmony 40%,6,127,Ring Game,-42.7,2.59
17/08/2025,1214677,ƁartSimpson,278673,851308963,37362237,Edge Bomb DB,6,106,Ring Game,-2,0.1
19/08/2025,1492829,OtisMalone,42904,852304509,37412025,Silver 20bb ANTE,6,111,Ring Game,66.17,1.57
19/08/2025,1492829,OtisMalone,42904,852305602,37412025,Silver 20bb ANTE,6,111,Ring Game,-0.48,0.02
18/08/2025,1492829,OtisMalone,42904,851830020,37391923,Pursuit 20bb % ANTE,6,111,Ring Game,6.74,0.18
18/08/2025,1492829,OtisMalone,42904,851790569,37392566,Pursuit(1),5,111,Ring Game,0,0
17/08/2025,1214677,ƁartSimpson,278673,851260337,37366437,Edge DB,6,106,Ring Game,67.75,1.7
17/08/2025,1214677,ƁartSimpson,278673,851260765,37362237,Edge Bomb DB,6,106,Ring Game,-2,0.1
17/08/2025,1492829,OtisMalone,42904,851261222,37366594,Golden 20bb,5,111,Ring Game,0,0
17/08/2025,1214677,ƁartSimpson,278673,851265842,37366437,Edge DB,6,106,Ring Game,10,2.15
17/08/2025,1214677,ƁartSimpson,278673,851270461,37355415,Edge Bomb(1),6,106,Ring Game,-2,0.15
17/08/2025,1214677,ƁartSimpson,278673,851270792,37362237,Edge Bomb DB,6,106,Ring Game,0.85,2
18/08/2025,1492829,OtisMalone,42904,852013750,37397612,Pursuit 35% ANTE,6,111,Ring Game,-67.77,1.21
18/08/2025,1492829,OtisMalone,42904,852115828,37397612,Pursuit 35% ANTE,6,111,Ring Game,-0.96,0.05
18/08/2025,1492829,OtisMalone,42904,852121278,37397612,Pursuit 35% ANTE,6,111,Ring Game,6.15,0.16
18/08/2025,1492829,OtisMalone,42904,852134882,37397612,Pursuit 35% ANTE,6,111,Ring Game,-0.96,0.06
18/08/2025,1492829,OtisMalone,42904,852136675,37397612,Pursuit 35% ANTE,6,111,Ring Game,-0.32,0.01
18/08/2025,1492829,OtisMalone,42904,852138127,37397612,Pursuit 35% ANTE,6,111,Ring Game,24.74,0.55
17/08/2025,1214677,ƁartSimpson,278673,851309958,37366437,Edge DB,6,106,Ring Game,0,0
16/08/2025,1434022,Bulls4Bet,20443,850866076,37344471,Pursuit 20bb % ANTE,6,127,Ring Game,-30.1,1.79
16/08/2025,1434022,Bulls4Bet,20443,850866970,37340805,Harmony ANTE,6,127,Ring Game,7.7,0
16/08/2025,1434022,Bulls4Bet,20443,850867437,37340805,Harmony ANTE,6,127,Ring Game,-124.6,4.2
17/08/2025,1434022,Bulls4Bet,20443,850867764,37346582,Pursuit Straddle,6,127,Ring Game,0.7,0
17/08/2025,1492829,OtisMalone,42904,850868570,37346582,Pursuit Straddle,6,111,Ring Game,-30.82,1.76
17/08/2025,1492829,OtisMalone,42904,850870156,37346582,Pursuit Straddle,6,111,Ring Game,-0.64,0.04
17/08/2025,1434022,Bulls4Bet,20443,850870670,37346582,Pursuit Straddle,6,127,Ring Game,0,0
17/08/2025,1492829,OtisMalone,42904,850873488,37346582,Pursuit Straddle,6,111,Ring Game,0,0
16/08/2025,1434022,Bulls4Bet,20443,850876157,37344471,Pursuit 20bb % ANTE,6,127,Ring Game,-2.8,0.14
16/08/2025,1492829,OtisMalone,42904,850879332,37337934,Pursuit 20bb 1(1),6,111,Ring Game,0,0
16/08/2025,1434022,Bulls4Bet,20443,850883413,37344471,Pursuit 20bb % ANTE,6,127,Ring Game,-2.8,0
