id-clube,nome-clube,id-liga,nome-liga
55668,Farofa Poker,128,Suprema Union
54032,SX | Flop RTZ,128,Suprema Union
54031,SX | MAVERICK,128,Suprema Union
53810,SX | Vip Poker PB,128,Suprema Union
53799,Forra Certa Clube,128,Suprema Union
53640,KICK POKER,128,Suprema Union
53445,SX | DETUDOUMPOKER,128,Suprema Union
53375,SX | Saltos Clube,128,Suprema Union
53157,SX | Nopix Poker,128,Suprema Union
31572,LA NUEVA ERA,145,Suprema Panama
52641,H2 Club 20,128,Suprema Union
52417,SX | Blumenau Poker,128,Suprema Union
51092,XBD GROUP,128,Suprema Union
50976,eXplode Online,128,Suprema Union
48672,Império LIVE,128,Suprema Union
48035,Plus Poker 2,128,Suprema Union
47805,SX | V2 Poker Club,128,Suprema Union
47653,Pegasus Poker,128,Suprema Union
47517,SX | XTREME PLATINUM,128,Suprema Union
44731,Imperial Poker Vip,128,Suprema Union
49719,Club Do Coringa,128,Suprema Union
49641,SX | Toledo Poker,128,Suprema Union
49275,SX | ArenA Coliseu,128,Suprema Union
49170,UPSWING BRASIL,128,Suprema Union
49145,TOP POKER ♤ H20,128,Suprema Union
48703,SX | Clubs,128,Suprema Union
45990,FURY  ♤  H20,128,Suprema Union
45011,TATU BOLA CLUBE,128,Suprema Union
44956,SX | XTREME 5,128,Suprema Union
44524,Templários ♤ H20,128,Suprema Union
44286,Authentic Poker | SX,128,Suprema Union
43774,Royal Agency Room 3,128,Suprema Union
43384,JDM Club,128,Suprema Union
39776,SX | SHEIIK CLUB,128,Suprema Union
42682,Taques Poker,128,Suprema Union
42510,MILANO INTERISTAA,128,Suprema Union
42300,SX | Alcindo Fichas,128,Suprema Union
40842,SX | FLOP,128,Suprema Union
40598,W2 Poker Clube 1,128,Suprema Union
35093,SX | Fechados P Club,128,Suprema Union
100100,Poker em Casa,106,Suprema
42961,SX | ARENA GOLD,128,Suprema Union
42839,GoodLuck,128,Suprema Union
42802,Nitro Poker Club,128,Suprema Union
39115,Navy online,128,Suprema Union
36681,AX ONLINE ♤ H20,128,Suprema Union
36277,CLUBE 4 YAMADA,128,Suprema Union
36274,SX | All In Clube,128,Suprema Union
36040,SX| Vip Poker Select,128,Suprema Union
34910,SX | Fênix Team,128,Suprema Union
31065,SX | Raise Poker,128,Suprema Union
33547,SX | Big Blinds Club,128,Suprema Union
33261,SX | Jambu Poker,128,Suprema Union
33260,SX | Mafia,128,Suprema Union
32445,SX | XTREME GOLD,128,Suprema Union
32443,SX | XTREME PRO,128,Suprema Union
31895,SPEW,128,Suprema Union
31539,H2 Club 11,128,Suprema Union
31163,H2 Club10,128,Suprema Union
31701,H2 Club 15,128,Suprema Union
31699,H2 Club 13,128,Suprema Union
