lat,lon,country,state,city,suburb,postcode,display_name
-23.559391,-46.654526,Brasil,São Paulo,São Paulo,Morro dos Ingleses,01329-000,"Morro dos Ingleses, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, 01329-000, Brasil"
-23.557207,-46.652797,Brasil,São Paulo,São Paulo,Bixiga,01328-000,"Bixiga, Bela Vista, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, 01328-000, Brasil"
